format=0 tracks=1 division=480

BA   11   CR         0   TR  0   CH  3   NT  E-           9/20
BA   11   CR         0   TR  0   CH 10   NT  C--          1/48
BA   11   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   11   CR         0   TR  0   CH 10   NT  D--          1/48
BA   11   CR       1/2   TR  0   CH  1   NT  C#''         9/40
BA   11   CR       1/2   TR  0   CH  3   NT  G#-          9/40
BA   11   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   11   CR         1   TR  0   CH  1   NT  D''          9/40
BA   11   CR         1   TR  0   CH  3   NT  B-           9/20
BA   11   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   11   CR         1   TR  0   CH 10   NT  D--          1/48
BA   11   CR     1+1/4   TR  0   CH  1   NT  C#''        27/40
BA   11   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA   11   CR     1+1/2   TR  0   CH  3   NT  E-           9/40
BA   11   CR     1+3/4   TR  0   CH  3   NT  E-           7/10
BA   11   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   11   CR         2   TR  0   CH  1   NT  B'          1+4/5
BA   11   CR         2   TR  0   CH  2   NT  B            9/40
BA   11   CR         2   TR  0   CH 10   NT  C--          1/48
BA   11   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   11   CR     2+1/2   TR  0   CH  2   NT  C#'          9/40
BA   11   CR     2+1/2   TR  0   CH  3   NT  D-           9/20
BA   11   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   11   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   11   CR         3   TR  0   CH  2   NT  D'           9/40
BA   11   CR         3   TR  0   CH  3   NT  B--          9/20
BA   11   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   11   CR         3   TR  0   CH 10   NT  D--          1/48
BA   11   CR     3+1/4   TR  0   CH  2   NT  B           27/40
BA   11   CR     3+1/4   TR  0   CH  3   NT  G#--        27/40
BA   11   CR 3+197/480   TR  0   CH  1   ST &E0 &5B &3F
BA   11   CR 3+227/480   TR  0   CH  1   ST &E0 &7B &38
BA   11   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   11   CR 3+257/480   TR  0   CH  1   ST &E0 &1B &32
BA   11   CR 3+287/480   TR  0   CH  1   ST &E0 &3A &2B
BA   11   CR 3+317/480   TR  0   CH  1   ST &E0 &5A &24
BA   11   CR 3+347/480   TR  0   CH  1   ST &E0 &79 &1D
BA   11   CR 3+377/480   TR  0   CH  1   ST &E0 &19 &17
BA   11   CR 3+407/480   TR  0   CH  1   ST &E0 &38 &10
BA   11   CR 3+437/480   TR  0   CH  1   ST &E0 &58 &09
BA   11   CR 3+467/480   TR  0   CH  1   ST &E0 &77 &02

BA   12   CR         0   TR  0   CH  1   NT  C#''         9/40
BA   12   CR         0   TR  0   CH  1   ST &E0 &00 &40
BA   12   CR         0   TR  0   CH  2   Instrument 57
BA   12   CR         0   TR  0   CH  2   ST &E1 &00 &40
BA   12   CR         0   TR  0   CH  2   NT  A'           9/40
BA   12   CR         0   TR  0   CH  3   NT  A--          9/20
BA   12   CR         0   TR  0   CH 10   NT  C--          1/48
BA   12   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   12   CR         0   TR  0   CH 10   NT  D--          1/48
BA   12   CR       1/2   TR  0   CH  1   NT  C#''         9/40
BA   12   CR       1/2   TR  0   CH  2   NT  A'           9/40
BA   12   CR       1/2   TR  0   CH  3   NT  C#-          9/40
BA   12   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   12   CR         1   TR  0   CH  1   NT  B'           9/40
BA   12   CR         1   TR  0   CH  2   NT  G'           9/40
BA   12   CR         1   TR  0   CH  3   NT  E-           9/20
BA   12   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   12   CR         1   TR  0   CH 10   NT  D--          1/48
BA   12   CR     1+1/4   TR  0   CH  1   NT  A'          27/40
BA   12   CR     1+1/4   TR  0   CH  2   NT  E'          27/40
BA   12   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA   12   CR     1+1/2   TR  0   CH  3   NT  A--          9/40
BA   12   CR     1+3/4   TR  0   CH  3   NT  A--          7/10
BA   12   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   12   CR         2   TR  0   CH  1   NT  G'           9/40
BA   12   CR         2   TR  0   CH  2   NT  E'           9/40
BA   12   CR         2   TR  0   CH 10   NT  C--          1/48
BA   12   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   12   CR     2+1/2   TR  0   CH  1   NT  G'           9/40
BA   12   CR     2+1/2   TR  0   CH  2   NT  E'           9/40
BA   12   CR     2+1/2   TR  0   CH  3   NT  E-           9/20
BA   12   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   12   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   12   CR         3   TR  0   CH  1   NT  F#'          9/40
BA   12   CR         3   TR  0   CH  2   NT  D'           9/40
BA   12   CR         3   TR  0   CH  3   NT  C#-          9/40
BA   12   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   12   CR         3   TR  0   CH 10   NT  D--          1/48
BA   12   CR     3+1/4   TR  0   CH  1   NT  E'          27/40
BA   12   CR     3+1/4   TR  0   CH  2   NT  B           27/40
BA   12   CR     3+1/4   TR  0   CH  3   NT  E--         27/40
BA   12   CR     3+1/2   TR  0   CH 10   NT  C--          1/48

BA   13   CR         0   TR  0   CH  1   NT  F#'          9/40
BA   13   CR         0   TR  0   CH  2   NT  C#'          9/40
BA   13   CR         0   TR  0   CH  3   NT  F#--         9/20
BA   13   CR         0   TR  0   CH 10   NT  C--          1/48
BA   13   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   13   CR         0   TR  0   CH 10   NT  D--          1/48
BA   13   CR       1/2   TR  0   CH  1   NT  F#'          9/40
BA   13   CR       1/2   TR  0   CH  2   NT  C#'          9/40
BA   13   CR       1/2   TR  0   CH  3   NT  B--          9/40
BA   13   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   13   CR         1   TR  0   CH  1   NT  E'           9/40
BA   13   CR         1   TR  0   CH  2   NT  Bb           9/40
BA   13   CR         1   TR  0   CH  3   NT  C#-          9/40
BA   13   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   13   CR         1   TR  0   CH 10   NT  D--          1/48
BA   13   CR     1+1/4   TR  0   CH  1   NT  D'          27/40
BA   13   CR     1+1/4   TR  0   CH  2   NT  B           27/40
BA   13   CR     1+1/4   TR  0   CH  3   NT  F#-         27/40
BA   13   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA   13   CR     1+1/2   TR  0   CH 10   NT  D--          1/48
BA   13   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   13   CR         2   TR  0   CH  1   NT  C#'         1+4/5
BA   13   CR         2   TR  0   CH  2   NT  Bb           9/20
BA   13   CR         2   TR  0   CH  3   NT  F#--         9/20
BA   13   CR         2   TR  0   CH 10   NT  C--          1/48
BA   13   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   13   CR     2+1/2   TR  0   CH  2   NT  F#           9/20
BA   13   CR     2+1/2   TR  0   CH  3   NT  B--          9/20
BA   13   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   13   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   13   CR         3   TR  0   CH  2   NT  F#'          9/40
BA   13   CR         3   TR  0   CH  3   NT  F#--         9/40
BA   13   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   13   CR         3   TR  0   CH 10   NT  D--          1/48
BA   13   CR     3+1/4   TR  0   CH  2   NT  Bb'          9/20
BA   13   CR     3+1/4   TR  0   CH  3   NT  F#-         27/40
BA   13   CR 3+197/480   TR  0   CH  1   ST &E0 &5B &3F
BA   13   CR 3+227/480   TR  0   CH  1   ST &E0 &7B &38
BA   13   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   13   CR     3+1/2   TR  0   CH 10   NT  D--          1/48
BA   13   CR 3+257/480   TR  0   CH  1   ST &E0 &1B &32
BA   13   CR 3+287/480   TR  0   CH  1   ST &E0 &3A &2B
BA   13   CR 3+317/480   TR  0   CH  1   ST &E0 &5A &24
BA   13   CR 3+347/480   TR  0   CH  1   ST &E0 &79 &1D
BA   13   CR     3+3/4   TR  0   CH 10   NT  D--          1/48
BA   13   CR 3+377/480   TR  0   CH  1   ST &E0 &19 &17
BA   13   CR 3+407/480   TR  0   CH  1   ST &E0 &38 &10
BA   13   CR 3+437/480   TR  0   CH  1   ST &E0 &58 &09
BA   13   CR 3+467/480   TR  0   CH  1   ST &E0 &77 &02

BA   14   CR         0   TR  0   CH  1   Instrument 22
BA   14   CR         0   TR  0   CH  1   ST &E0 &00 &40
BA   14   CR         0   TR  0   CH  1   NT  B          1+7/20
BA   14   CR         0   TR  0   CH  2   Instrument 47
BA   14   CR         0   TR  0   CH  2   NT  D''          9/40
BA   14   CR         0   TR  0   CH  3   NT  B--          9/10
BA   14   CR         0   TR  0   CH 10   NT  D--          1/48
BA   14   CR         0   TR  0   CH 10   NT  C--          1/48
BA   14   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   14   CR         0   TR  0   CH 10   NT  C#-          1/48
BA   14   CR       1/4   TR  0   CH  2   NT  B'           9/40
BA   14   CR       1/2   TR  0   CH  2   NT  F#'          9/40
BA   14   CR       1/2   TR  0   CH  3   NT  B-           9/20
BA   14   CR       1/2   TR  0   CH 10   NT  D--          1/48
BA   14   CR       3/4   TR  0   CH  2   NT  D'           9/40
BA   14   CR         1   TR  0   CH  2   NT  D''          9/40
BA   14   CR         1   TR  0   CH  3   NT  B--          9/10
BA   14   CR         1   TR  0   CH 10   NT  D--          1/48
BA   14   CR         1   TR  0   CH 10   NT  C--          1/48
BA   14   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   14   CR         1   TR  0   CH 10   NT  C#-          1/48
BA   14   CR     1+1/4   TR  0   CH  2   NT  B'           9/40
BA   14   CR     1+1/2   TR  0   CH  2   NT  F#'          9/40
BA   14   CR     1+3/4   TR  0   CH  2   NT  D'           9/40
BA   14   CR     1+3/4   TR  0   CH  3   NT  A-           9/20
BA   14   CR         2   TR  0   CH  1   NT  D'           9/20
BA   14   CR         2   TR  0   CH  2   NT  D''          9/40
BA   14   CR         2   TR  0   CH  3   NT  B--          9/10
BA   14   CR         2   TR  0   CH 10   NT  D--          1/48
BA   14   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   14   CR         2   TR  0   CH 10   NT  C#-          1/48
BA   14   CR     2+1/4   TR  0   CH  2   NT  B'           9/40
BA   14   CR     2+1/2   TR  0   CH  2   NT  F#'          9/40
BA   14   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   14   CR     2+3/4   TR  0   CH  1   NT  C#'          9/20
BA   14   CR     2+3/4   TR  0   CH  2   NT  D'           9/40
BA   14   CR     2+3/4   TR  0   CH  3   NT  F#-          9/20
BA   14   CR         3   TR  0   CH  2   NT  D''          9/40
BA   14   CR         3   TR  0   CH  3   NT  B--          9/10
BA   14   CR         3   TR  0   CH 10   NT  D--          1/48
BA   14   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   14   CR         3   TR  0   CH 10   NT  C#-          1/48
BA   14   CR     3+1/4   TR  0   CH  2   NT  B'           9/40
BA   14   CR     3+1/2   TR  0   CH  1   NT  B          4+1/10
BA   14   CR     3+1/2   TR  0   CH  2   NT  F#'          9/40
BA   14   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   14   CR     3+3/4   TR  0   CH  2   NT  D'           9/40

BA   15   CR         0   TR  0   CH  2   NT  D''          9/40
BA   15   CR         0   TR  0   CH  3   NT  A--          9/20
BA   15   CR         0   TR  0   CH 10   NT  D--          1/48
BA   15   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   15   CR         0   TR  0   CH 10   NT  C#-          1/48
BA   15   CR       1/4   TR  0   CH  2   NT  B'           9/40
BA   15   CR       1/2   TR  0   CH  2   NT  F#'          9/40
BA   15   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   15   CR       3/4   TR  0   CH  2   NT  D'           9/40
BA   15   CR       3/4   TR  0   CH  3   NT  Bb--         9/20
BA   15   CR         1   TR  0   CH  2   NT  B            9/40
BA   15   CR         1   TR  0   CH 10   NT  D--          1/48
BA   15   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   15   CR     1+1/4   TR  0   CH  2   NT  F#           9/40
BA   15   CR     1+1/2   TR  0   CH  2   NT  D            9/40
BA   15   CR     1+1/2   TR  0   CH  3   NT  B--          9/10
BA   15   CR     1+1/2   TR  0   CH 10   NT  C--          1/48
BA   15   CR     1+1/2   TR  0   CH 10   NT  C#-          1/48
BA   15   CR     1+3/4   TR  0   CH  2   NT  A-           9/40
BA   15   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   15   CR         2   TR  0   CH  2   NT  F#-          9/40
BA   15   CR         2   TR  0   CH 10   NT  D--          1/48
BA   15   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   15   CR     2+1/4   TR  0   CH  2   NT  A-           9/40
BA   15   CR     2+1/2   TR  0   CH  2   NT  D            9/40
BA   15   CR     2+1/2   TR  0   CH  3   NT  B--          9/20
BA   15   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   15   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   15   CR     2+3/4   TR  0   CH  2   NT  F#           9/40
BA   15   CR         3   TR  0   CH  2   NT  B            9/40
BA   15   CR         3   TR  0   CH  3   NT  A--          9/20
BA   15   CR         3   TR  0   CH 10   NT  D--          1/48
BA   15   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   15   CR         3   TR  0   CH 10   NT  C#-          1/48
BA   15   CR     3+1/4   TR  0   CH  2   NT  D'           9/40
BA   15   CR     3+1/2   TR  0   CH  2   NT  F#'          9/40
BA   15   CR     3+1/2   TR  0   CH  3   NT  F#--         9/20
BA   15   CR     3+1/2   TR  0   CH 10   NT  D--          1/48
BA   15   CR     3+1/2   TR  0   CH 10   NT  F#--         1/48
BA   15   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   15   CR     3+3/4   TR  0   CH  2   NT  B'           9/40
BA   15   CR     3+3/4   TR  0   CH 10   NT  D--          1/48
BA   15   CR     3+3/4   TR  0   CH 10   NT  C--          1/48

BA   16   CR         0   TR  0   CH  1   NT  B            9/20
BA   16   CR         0   TR  0   CH  2   NT  D''          9/40
BA   16   CR         0   TR  0   CH  3   NT  E--          9/10
BA   16   CR         0   TR  0   CH 10   NT  D--          1/48
BA   16   CR         0   TR  0   CH 10   NT  C--          1/48
BA   16   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   16   CR         0   TR  0   CH 10   NT  C#-          1/48
BA   16   CR       1/4   TR  0   CH  2   NT  G#'          9/40
BA   16   CR       1/2   TR  0   CH  2   NT  D'           9/40
BA   16   CR       1/2   TR  0   CH  3   NT  E-           9/20
BA   16   CR       1/2   TR  0   CH 10   NT  D--          1/48
BA   16   CR       3/4   TR  0   CH  2   NT  B            9/40
BA   16   CR         1   TR  0   CH  1   NT  D'           9/20
BA   16   CR         1   TR  0   CH  2   NT  D''          9/40
BA   16   CR         1   TR  0   CH  3   NT  E--          9/10
BA   16   CR         1   TR  0   CH 10   NT  D--          1/48
BA   16   CR         1   TR  0   CH 10   NT  C--          1/48
BA   16   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   16   CR         1   TR  0   CH 10   NT  C#-          1/48
BA   16   CR     1+1/4   TR  0   CH  2   NT  G#'          9/40
BA   16   CR     1+1/2   TR  0   CH  2   NT  D'           9/40
BA   16   CR     1+1/2   TR  0   CH  3   NT  B--          9/40
BA   16   CR     1+3/4   TR  0   CH  2   NT  B            9/40
BA   16   CR     1+3/4   TR  0   CH  3   NT  D-           9/20
BA   16   CR         2   TR  0   CH  1   NT  C#'          9/20
BA   16   CR         2   TR  0   CH  2   NT  D''          9/40
BA   16   CR         2   TR  0   CH  3   NT  E--          9/20
BA   16   CR         2   TR  0   CH 10   NT  D--          1/48
BA   16   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   16   CR         2   TR  0   CH 10   NT  C#-          1/48
BA   16   CR     2+1/4   TR  0   CH  2   NT  G#'          9/40
BA   16   CR     2+1/2   TR  0   CH  2   NT  D'           9/40
BA   16   CR     2+1/2   TR  0   CH  3   NT  E--          9/20
BA   16   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   16   CR     2+3/4   TR  0   CH  1   NT  B            9/20
BA   16   CR     2+3/4   TR  0   CH  2   NT  B            9/40
BA   16   CR         3   TR  0   CH  2   NT  D''          9/40
BA   16   CR         3   TR  0   CH  3   NT  B--          9/20
BA   16   CR         3   TR  0   CH 10   NT  D--          1/48
BA   16   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   16   CR         3   TR  0   CH 10   NT  C#-          1/48
BA   16   CR     3+1/4   TR  0   CH  2   NT  G#'          9/40
BA   16   CR     3+1/2   TR  0   CH  1   NT  Bb         4+1/10
BA   16   CR     3+1/2   TR  0   CH  2   NT  D'           9/40
BA   16   CR     3+1/2   TR  0   CH  3   NT  F#-          9/20
BA   16   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   16   CR     3+3/4   TR  0   CH  2   NT  B            9/40

BA   17   CR         0   TR  0   CH  2   NT  C#''         9/40
BA   17   CR         0   TR  0   CH  3   NT  F#-          9/20
BA   17   CR         0   TR  0   CH 10   NT  D--          1/48
BA   17   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   17   CR         0   TR  0   CH 10   NT  C#-          1/48
BA   17   CR       1/4   TR  0   CH  2   NT  Bb'          9/40
BA   17   CR       1/2   TR  0   CH  2   NT  F#'          9/40
BA   17   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   17   CR       3/4   TR  0   CH  2   NT  C#'          9/40
BA   17   CR       3/4   TR  0   CH  3   NT  E-           9/20
BA   17   CR         1   TR  0   CH  2   NT  B            9/40
BA   17   CR         1   TR  0   CH 10   NT  D--          1/48
BA   17   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   17   CR     1+1/4   TR  0   CH  2   NT  F#           9/40
BA   17   CR     1+1/2   TR  0   CH  2   NT  B-           9/40
BA   17   CR     1+1/2   TR  0   CH  3   NT  C#-          9/10
BA   17   CR     1+1/2   TR  0   CH 10   NT  C--          1/48
BA   17   CR     1+1/2   TR  0   CH 10   NT  C#-          1/48
BA   17   CR     1+3/4   TR  0   CH  2   NT  C#           9/40
BA   17   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   17   CR         2   TR  0   CH  2   NT  E            9/40
BA   17   CR         2   TR  0   CH 10   NT  D--          1/48
BA   17   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   17   CR     2+1/4   TR  0   CH  2   NT  F#           9/40
BA   17   CR     2+1/2   TR  0   CH  2   NT  A            9/40
BA   17   CR     2+1/2   TR  0   CH  3   NT  B--          9/10
BA   17   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   17   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   17   CR     2+3/4   TR  0   CH  2   NT  B            9/40
BA   17   CR         3   TR  0   CH  2   NT  D'           9/40
BA   17   CR         3   TR  0   CH 10   NT  D--          1/48
BA   17   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   17   CR         3   TR  0   CH 10   NT  C#-          1/48
BA   17   CR     3+1/4   TR  0   CH  2   NT  F#'          9/40
BA   17   CR     3+1/2   TR  0   CH  2   NT  A'           9/40
BA   17   CR     3+1/2   TR  0   CH  3   NT  Bb--         9/20
BA   17   CR     3+1/2   TR  0   CH 10   NT  D--          1/48
BA   17   CR     3+1/2   TR  0   CH 10   NT  F#--         1/48
BA   17   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   17   CR     3+1/2   TR  0   CH 10   NT  C#-          1/48
BA   17   CR     3+3/4   TR  0   CH  2   NT  B'           9/40
BA   17   CR     3+3/4   TR  0   CH 10   NT  D--          1/48
BA   17   CR     3+3/4   TR  0   CH 10   NT  C--          1/48

BA   18   CR         0   TR  0   CH  1   Instrument 57
BA   18   CR         0   TR  0   CH  1   NT  B            9/40
BA   18   CR         0   TR  0   CH  2   NT  F#           9/40
BA   18   CR         0   TR  0   CH  2   Instrument 57
BA   18   CR         0   TR  0   CH  3   NT  B--          9/20
BA   18   CR         0   TR  0   CH 10   NT  C--          1/48
BA   18   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   18   CR         0   TR  0   CH 10   NT  C#-          1/48
BA   18   CR         0   TR  0   CH 10   NT  D--          1/48
BA   18   CR       1/4   TR  0   CH  1   NT  B            9/40
BA   18   CR       1/4   TR  0   CH  2   NT  F#           9/40
BA   18   CR       1/2   TR  0   CH  1   NT  A            9/40
BA   18   CR       1/2   TR  0   CH  2   NT  E            9/40
BA   18   CR       1/2   TR  0   CH  3   NT  A-           9/40
BA   18   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   18   CR       3/4   TR  0   CH  1   NT  B             1/4
BA   18   CR       3/4   TR  0   CH  2   NT  F#            1/4
BA   18   CR         1   TR  0   CH  3   NT  F#-          9/20
BA   18   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   18   CR         1   TR  0   CH 10   NT  D--          1/48
BA   18   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA   18   CR     1+1/2   TR  0   CH  1   NT  B            9/20
BA   18   CR     1+1/2   TR  0   CH  2   NT  F#           9/20
BA   18   CR     1+1/2   TR  0   CH  3   NT  B--          9/40
BA   18   CR     1+3/4   TR  0   CH  3   NT  B--         19/40
BA   18   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   18   CR         2   TR  0   CH 10   NT  C--          1/48
BA   18   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   18   CR     2+1/4   TR  0   CH  3   NT  A--          9/40
BA   18   CR     2+1/2   TR  0   CH  1   NT  B            9/10
BA   18   CR     2+1/2   TR  0   CH  3   NT  B--          9/20
BA   18   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   18   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   18   CR         3   TR  0   CH  3   NT  B--          9/40
BA   18   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   18   CR         3   TR  0   CH 10   NT  D--          1/48
BA   18   CR     3+1/4   TR  0   CH  3   NT  A-           9/40
BA   18   CR     3+1/2   TR  0   CH  1   NT  A            9/20
BA   18   CR     3+1/2   TR  0   CH  3   NT  E-           9/40
BA   18   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   18   CR     3+3/4   TR  0   CH  3   NT  A-           9/40

BA   19   CR         0   TR  0   CH  1   NT  G#           9/40
BA   19   CR         0   TR  0   CH  2   NT  E            9/40
BA   19   CR         0   TR  0   CH  3   NT  E-           9/20
BA   19   CR         0   TR  0   CH 10   NT  C--          1/48
BA   19   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   19   CR         0   TR  0   CH 10   NT  D--          1/48
BA   19   CR       1/4   TR  0   CH  1   NT  G#           9/40
BA   19   CR       1/4   TR  0   CH  2   NT  E            9/40
BA   19   CR       1/2   TR  0   CH  1   NT  F#           9/40
BA   19   CR       1/2   TR  0   CH  2   NT  D            9/40
BA   19   CR       1/2   TR  0   CH  3   NT  G#-          9/40
BA   19   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   19   CR       3/4   TR  0   CH  1   NT  G#           9/40
BA   19   CR       3/4   TR  0   CH  2   NT  E            9/40
BA   19   CR         1   TR  0   CH  3   NT  B-           9/20
BA   19   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   19   CR         1   TR  0   CH 10   NT  D--          1/48
BA   19   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA   19   CR     1+1/2   TR  0   CH  1   NT  G#           9/20
BA   19   CR     1+1/2   TR  0   CH  2   NT  E            9/20
BA   19   CR     1+1/2   TR  0   CH  3   NT  E-           9/40
BA   19   CR     1+3/4   TR  0   CH  3   NT  E-           7/10
BA   19   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   19   CR         2   TR  0   CH 10   NT  C--          1/48
BA   19   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   19   CR     2+1/2   TR  0   CH  1   NT  F#           9/10
BA   19   CR     2+1/2   TR  0   CH  3   NT  B--          9/10
BA   19   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   19   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   19   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   19   CR         3   TR  0   CH 10   NT  D--          1/48
BA   19   CR     3+1/2   TR  0   CH  1   NT  G#           9/20
BA   19   CR     3+1/2   TR  0   CH  3   NT  G#--         9/20
BA   19   CR     3+1/2   TR  0   CH 10   NT  C--          1/48

BA   20   CR         0   TR  0   CH  1   NT  A            9/40
BA   20   CR         0   TR  0   CH  2   NT  E            9/40
BA   20   CR         0   TR  0   CH  3   NT  A--          9/20
BA   20   CR         0   TR  0   CH 10   NT  C--          1/48
BA   20   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   20   CR         0   TR  0   CH 10   NT  D--          1/48
BA   20   CR       1/4   TR  0   CH  1   NT  A            9/40
BA   20   CR       1/4   TR  0   CH  2   NT  E            9/40
BA   20   CR       1/2   TR  0   CH  1   NT  G            9/40
BA   20   CR       1/2   TR  0   CH  2   NT  D            9/40
BA   20   CR       1/2   TR  0   CH  3   NT  G-           9/40
BA   20   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   20   CR       3/4   TR  0   CH  1   NT  A            9/40
BA   20   CR       3/4   TR  0   CH  2   NT  E            9/40
BA   20   CR         1   TR  0   CH  3   NT  E-           9/20
BA   20   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   20   CR         1   TR  0   CH 10   NT  D--          1/48
BA   20   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA   20   CR     1+1/2   TR  0   CH  1   NT  A            9/20
BA   20   CR     1+1/2   TR  0   CH  2   NT  E            9/20
BA   20   CR     1+1/2   TR  0   CH  3   NT  A--          9/40
BA   20   CR     1+3/4   TR  0   CH  3   NT  A--         19/40
BA   20   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   20   CR         2   TR  0   CH 10   NT  C--          1/48
BA   20   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   20   CR     2+1/4   TR  0   CH  3   NT  G--          9/40
BA   20   CR     2+1/2   TR  0   CH  1   NT  A            9/10
BA   20   CR     2+1/2   TR  0   CH  3   NT  A--          9/20
BA   20   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   20   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   20   CR         3   TR  0   CH  3   NT  A--          9/40
BA   20   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   20   CR         3   TR  0   CH 10   NT  D--          1/48
BA   20   CR     3+1/4   TR  0   CH  3   NT  G-           9/40
BA   20   CR     3+1/2   TR  0   CH  1   NT  G            9/20
BA   20   CR     3+1/2   TR  0   CH  3   NT  E-           9/40
BA   20   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   20   CR     3+3/4   TR  0   CH  3   NT  G-           9/40

BA   21   CR         0   TR  0   CH  1   NT  F#           9/40
BA   21   CR         0   TR  0   CH  2   NT  E            9/40
BA   21   CR         0   TR  0   CH  3   NT  F#--         9/20
BA   21   CR         0   TR  0   CH 10   NT  C--          1/48
BA   21   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   21   CR         0   TR  0   CH 10   NT  D--          1/48
BA   21   CR       1/4   TR  0   CH  1   NT  F#           9/40
BA   21   CR       1/4   TR  0   CH  2   NT  E            9/40
