format=1 tracks=11 division=96

BA   10   CR     3+1/4   TR  6   CH  6   NT  B---        11/48   voff=126
BA   10   CR     3+1/4   TR  7   CH  7   NT  G#          11/48   voff=126
BA   10   CR     3+1/4   TR  9   CH  9   NT  G#          11/48   voff=126
BA   10   CR   3+25/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   10   CR   3+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   10   CR     3+1/2   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   10   CR     3+1/2   TR  2   CH  2   NT  F'          23/48   voff=126
BA   10   CR     3+1/2   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   10   CR     3+1/2   TR  6   CH  6   NT  B----       11/48   voff=126
BA   10   CR     3+1/2   TR  7   CH  7   NT  F#          11/48   voff=126
BA   10   CR     3+1/2   TR  9   CH  9   NT  F#          11/48   voff=126
BA   10   CR   3+49/96   TR  8   CH  8   NT  F'          23/48   voff=126
BA   10   CR   3+49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   10   CR   3+49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   10   CR   3+49/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   10   CR     3+3/4   TR  1   CH  1   NT  G#'         11/48   voff=126
BA   10   CR     3+3/4   TR  5   CH  5   NT  G#'         11/48   voff=126
BA   10   CR     3+3/4   TR  6   CH  6   NT  F#---       11/48   voff=126
BA   10   CR     3+3/4   TR  7   CH  7   NT  G#          11/48   voff=126
BA   10   CR     3+3/4   TR  9   CH  9   NT  G#          11/48   voff=126
BA   10   CR   3+73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   10   CR   3+73/96   TR 10   CH 10   NT  B---        11/48   voff=126

BA   11   CR         0   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   11   CR         0   TR  2   CH  2   NT  F#'         11/48   voff=126
BA   11   CR         0   TR  3   CH  3   NT  C#-       3+47/48   voff=126
BA   11   CR         0   TR  4   CH  4   NT  C#--      3+47/48   voff=126
BA   11   CR         0   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   11   CR         0   TR  6   CH  6   NT  C#---       11/48   voff=126
BA   11   CR         0   TR  7   CH  7   NT  C#          11/48   voff=126
BA   11   CR         0   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   11   CR      1/96   TR  8   CH  8   NT  F#'         11/48   voff=126
BA   11   CR      1/96   TR 10   CH 10   NT  B---        35/48   voff=126
BA   11   CR       1/4   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   11   CR       1/4   TR  2   CH  2   NT  Eb'         23/48   voff=126
BA   11   CR       1/4   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   11   CR       1/4   TR  6   CH  6   NT  G#---       11/48   voff=126
BA   11   CR       1/4   TR  7   CH  7   NT  G#          11/48   voff=126
BA   11   CR       1/4   TR  9   CH  9   NT  F#          11/48   voff=126
BA   11   CR     25/96   TR  8   CH  8   NT  Eb'         23/48   voff=126
BA   11   CR     25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   11   CR       1/2   TR  1   CH  1   NT  Bb'         11/48   voff=126
BA   11   CR       1/2   TR  5   CH  5   NT  Bb'         11/48   voff=126
BA   11   CR       1/2   TR  6   CH  6   NT  C#--        11/48   voff=126
BA   11   CR       1/2   TR  7   CH  7   NT  C#'         11/48   voff=126
BA   11   CR       1/2   TR  9   CH  9   NT  Bb          11/48   voff=126
BA   11   CR     49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   11   CR     49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   11   CR       3/4   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   11   CR       3/4   TR  2   CH  2   NT  F'          23/48   voff=126
BA   11   CR       3/4   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   11   CR       3/4   TR  6   CH  6   NT  C#---       11/48   voff=126
BA   11   CR       3/4   TR  7   CH  7   NT  C#          11/48   voff=126
BA   11   CR       3/4   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   11   CR     73/96   TR  8   CH  8   NT  F'          23/48   voff=126
BA   11   CR     73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   11   CR     73/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   11   CR         1   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   11   CR         1   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   11   CR         1   TR  6   CH  6   NT  G#---       11/48   voff=126
BA   11   CR         1   TR  7   CH  7   NT  G#          11/48   voff=126
BA   11   CR         1   TR  9   CH  9   NT  F#          11/48   voff=126
BA   11   CR     1+1/4   TR  1   CH  1   NT  Bb'         11/48   voff=126
BA   11   CR     1+1/4   TR  2   CH  2   NT  F#'         23/48   voff=126
BA   11   CR     1+1/4   TR  5   CH  5   NT  Bb'         11/48   voff=126
BA   11   CR     1+1/4   TR  6   CH  6   NT  C#--        11/48   voff=126
BA   11   CR     1+1/4   TR  7   CH  7   NT  C#'         11/48   voff=126
BA   11   CR     1+1/4   TR  9   CH  9   NT  Bb          11/48   voff=126
BA   11   CR   1+25/96   TR  8   CH  8   NT  F#'         23/48   voff=126
BA   11   CR   1+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   11   CR   1+25/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   11   CR     1+1/2   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   11   CR     1+1/2   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   11   CR     1+1/2   TR  6   CH  6   NT  C#---       11/48   voff=126
BA   11   CR     1+1/2   TR  7   CH  7   NT  C#          11/48   voff=126
BA   11   CR     1+1/2   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   11   CR   1+49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   11   CR   1+49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   11   CR     1+3/4   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   11   CR     1+3/4   TR  2   CH  2   NT  Eb'         11/48   voff=126
BA   11   CR     1+3/4   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   11   CR     1+3/4   TR  6   CH  6   NT  G#---       11/48   voff=126
BA   11   CR     1+3/4   TR  7   CH  7   NT  G#          11/48   voff=126
BA   11   CR     1+3/4   TR  9   CH  9   NT  F#          11/48   voff=126
BA   11   CR   1+73/96   TR  8   CH  8   NT  Eb'         11/48   voff=126
BA   11   CR   1+73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   11   CR   1+73/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   11   CR         2   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   11   CR         2   TR  2   CH  2   NT  F'          23/48   voff=126
BA   11   CR         2   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   11   CR         2   TR  6   CH  6   NT  C#---       11/48   voff=126
BA   11   CR         2   TR  7   CH  7   NT  Eb          11/48   voff=126
BA   11   CR         2   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   11   CR    2+1/96   TR  8   CH  8   NT  F'          23/48   voff=126
BA   11   CR    2+1/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   11   CR     2+1/4   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   11   CR     2+1/4   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   11   CR     2+1/4   TR  6   CH  6   NT  G#---       11/48   voff=126
BA   11   CR     2+1/4   TR  7   CH  7   NT  F#          11/48   voff=126
BA   11   CR     2+1/4   TR  9   CH  9   NT  F#          11/48   voff=126
BA   11   CR   2+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   11   CR   2+25/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   11   CR     2+1/2   TR  1   CH  1   NT  G#'         11/48   voff=126
BA   11   CR     2+1/2   TR  2   CH  2   NT  F#'         23/48   voff=126
BA   11   CR     2+1/2   TR  5   CH  5   NT  G#'         11/48   voff=126
BA   11   CR     2+1/2   TR  6   CH  6   NT  C#--        11/48   voff=126
BA   11   CR     2+1/2   TR  7   CH  7   NT  G#          11/48   voff=126
BA   11   CR     2+1/2   TR  9   CH  9   NT  G#          11/48   voff=126
BA   11   CR   2+49/96   TR  8   CH  8   NT  F#'         23/48   voff=126
BA   11   CR   2+49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   11   CR   2+49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   11   CR     2+3/4   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   11   CR     2+3/4   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   11   CR     2+3/4   TR  6   CH  6   NT  C#---       11/48   voff=126
BA   11   CR     2+3/4   TR  7   CH  7   NT  Eb          11/48   voff=126
BA   11   CR     2+3/4   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   11   CR   2+73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   11   CR   2+73/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   11   CR         3   TR  1   CH  1   NT  Bb'         11/48   voff=126
BA   11   CR         3   TR  2   CH  2   NT  Eb'         23/48   voff=126
BA   11   CR         3   TR  5   CH  5   NT  Bb'         11/48   voff=126
BA   11   CR         3   TR  6   CH  6   NT  G#---       11/48   voff=126
BA   11   CR         3   TR  7   CH  7   NT  Bb          11/48   voff=126
BA   11   CR         3   TR  9   CH  9   NT  Bb          11/48   voff=126
BA   11   CR    3+1/96   TR  8   CH  8   NT  Eb'         23/48   voff=126
BA   11   CR    3+1/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   11   CR     3+1/4   TR  1   CH  1   NT  G#'         11/48   voff=126
BA   11   CR     3+1/4   TR  5   CH  5   NT  G#'         11/48   voff=126
BA   11   CR     3+1/4   TR  6   CH  6   NT  C#--        11/48   voff=126
BA   11   CR     3+1/4   TR  7   CH  7   NT  G#          11/48   voff=126
BA   11   CR     3+1/4   TR  9   CH  9   NT  G#          11/48   voff=126
BA   11   CR   3+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   11   CR   3+25/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   11   CR     3+1/2   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   11   CR     3+1/2   TR  2   CH  2   NT  F'          23/48   voff=126
BA   11   CR     3+1/2   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   11   CR     3+1/2   TR  6   CH  6   NT  C#---       11/48   voff=126
BA   11   CR     3+1/2   TR  7   CH  7   NT  F#          11/48   voff=126
BA   11   CR     3+1/2   TR  9   CH  9   NT  F#          11/48   voff=126
BA   11   CR   3+49/96   TR  8   CH  8   NT  F'          23/48   voff=126
BA   11   CR   3+49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   11   CR   3+49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   11   CR     3+3/4   TR  1   CH  1   NT  G#'         11/48   voff=126
BA   11   CR     3+3/4   TR  5   CH  5   NT  G#'         11/48   voff=126
BA   11   CR     3+3/4   TR  6   CH  6   NT  G#---       11/48   voff=126
BA   11   CR     3+3/4   TR  7   CH  7   NT  G#          11/48   voff=126
BA   11   CR     3+3/4   TR  9   CH  9   NT  G#          11/48   voff=126
BA   11   CR   3+73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   11   CR   3+73/96   TR 10   CH 10   NT  B---        23/48   voff=126

BA   12   CR         0   TR  1   CH  1   NT  D'          11/48   voff=126
BA   12   CR         0   TR  2   CH  2   NT  F#'         11/48   voff=126
BA   12   CR         0   TR  3   CH  3   NT  Bb--      1+47/48   voff=126
BA   12   CR         0   TR  4   CH  4   NT  Bb---     1+47/48   voff=126
BA   12   CR         0   TR  5   CH  5   NT  D'          11/48   voff=126
BA   12   CR         0   TR  6   CH  6   NT  Bb----      11/48   voff=126
BA   12   CR         0   TR  7   CH  7   NT  Bb-         11/48   voff=126
BA   12   CR         0   TR  9   CH  9   NT  D           11/48   voff=126
BA   12   CR      1/96   TR  8   CH  8   NT  F#'         11/48   voff=126
BA   12   CR       1/4   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   12   CR       1/4   TR  2   CH  2   NT  D'          23/48   voff=126
BA   12   CR       1/4   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   12   CR       1/4   TR  6   CH  6   NT  F---        11/48   voff=126
BA   12   CR       1/4   TR  7   CH  7   NT  F           11/48   voff=126
BA   12   CR       1/4   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   12   CR     25/96   TR  8   CH  8   NT  D'          23/48   voff=126
BA   12   CR     25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   12   CR     25/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   12   CR       1/2   TR  1   CH  1   NT  F'          11/48   voff=126
BA   12   CR       1/2   TR  5   CH  5   NT  F'          11/48   voff=126
BA   12   CR       1/2   TR  6   CH  6   NT  Bb---       11/48   voff=126
BA   12   CR       1/2   TR  7   CH  7   NT  Bb          11/48   voff=126
BA   12   CR       1/2   TR  9   CH  9   NT  F           11/48   voff=126
BA   12   CR     49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   12   CR     49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   12   CR       3/4   TR  1   CH  1   NT  D'          11/48   voff=126
BA   12   CR       3/4   TR  2   CH  2   NT  Eb'         23/48   voff=126
BA   12   CR       3/4   TR  5   CH  5   NT  D'          11/48   voff=126
BA   12   CR       3/4   TR  6   CH  6   NT  Bb----      11/48   voff=126
BA   12   CR       3/4   TR  7   CH  7   NT  Bb-         11/48   voff=126
BA   12   CR       3/4   TR  9   CH  9   NT  D           11/48   voff=126
BA   12   CR     73/96   TR  8   CH  8   NT  Eb'         23/48   voff=126
BA   12   CR     73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   12   CR     73/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   12   CR         1   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   12   CR         1   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   12   CR         1   TR  6   CH  6   NT  F---        11/48   voff=126
BA   12   CR         1   TR  7   CH  7   NT  F           11/48   voff=126
BA   12   CR         1   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   12   CR     1+1/4   TR  1   CH  1   NT  F'          11/48   voff=126
BA   12   CR     1+1/4   TR  2   CH  2   NT  F'          23/48   voff=126
BA   12   CR     1+1/4   TR  5   CH  5   NT  F'          11/48   voff=126
BA   12   CR     1+1/4   TR  6   CH  6   NT  Bb---       11/48   voff=126
BA   12   CR     1+1/4   TR  7   CH  7   NT  Bb          11/48   voff=126
BA   12   CR     1+1/4   TR  9   CH  9   NT  F           11/48   voff=126
BA   12   CR   1+25/96   TR  8   CH  8   NT  F'          23/48   voff=126
BA   12   CR   1+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   12   CR   1+25/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   12   CR     1+1/2   TR  1   CH  1   NT  D'          11/48   voff=126
BA   12   CR     1+1/2   TR  5   CH  5   NT  D'          11/48   voff=126
BA   12   CR     1+1/2   TR  6   CH  6   NT  Bb----      11/48   voff=126
BA   12   CR     1+1/2   TR  7   CH  7   NT  Bb-         11/48   voff=126
BA   12   CR     1+1/2   TR  9   CH  9   NT  D           11/48   voff=126
BA   12   CR   1+49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   12   CR   1+49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   12   CR     1+3/4   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   12   CR     1+3/4   TR  2   CH  2   NT  D'          11/48   voff=126
BA   12   CR     1+3/4   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   12   CR     1+3/4   TR  6   CH  6   NT  F---        11/48   voff=126
BA   12   CR     1+3/4   TR  7   CH  7   NT  F           11/48   voff=126
BA   12   CR     1+3/4   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   12   CR   1+73/96   TR  8   CH  8   NT  D'          11/48   voff=126
BA   12   CR   1+73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   12   CR   1+73/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   12   CR         2   TR  1   CH  1   NT  D'          11/48   voff=126
BA   12   CR         2   TR  2   CH  2   NT  Eb'         23/48   voff=126
BA   12   CR         2   TR  3   CH  3   NT  Bb--        23/48   voff=126
BA   12   CR         2   TR  4   CH  4   NT  Bb---       23/48   voff=126
BA   12   CR         2   TR  5   CH  5   NT  D'          11/48   voff=126
BA   12   CR         2   TR  6   CH  6   NT  Bb----      11/48   voff=126
BA   12   CR         2   TR  7   CH  7   NT  D           11/48   voff=126
BA   12   CR         2   TR  9   CH  9   NT  D           11/48   voff=126
BA   12   CR    2+1/96   TR  8   CH  8   NT  Eb'         23/48   voff=126
BA   12   CR    2+1/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   12   CR     2+1/4   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   12   CR     2+1/4   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   12   CR     2+1/4   TR  6   CH  6   NT  F---        11/48   voff=126
BA   12   CR     2+1/4   TR  7   CH  7   NT  Eb          11/48   voff=126
BA   12   CR     2+1/4   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   12   CR   2+25/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   12   CR   2+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   12   CR     2+1/2   TR  1   CH  1   NT  F'          11/48   voff=126
BA   12   CR     2+1/2   TR  2   CH  2   NT  F'          23/48   voff=126
BA   12   CR     2+1/2   TR  3   CH  3   NT  F-          23/48   voff=126
BA   12   CR     2+1/2   TR  4   CH  4   NT  F--         23/48   voff=126
BA   12   CR     2+1/2   TR  5   CH  5   NT  F'          11/48   voff=126
BA   12   CR     2+1/2   TR  6   CH  6   NT  Bb---       11/48   voff=126
BA   12   CR     2+1/2   TR  7   CH  7   NT  F           11/48   voff=126
BA   12   CR     2+1/2   TR  9   CH  9   NT  F           11/48   voff=126
BA   12   CR   2+49/96   TR  8   CH  8   NT  F'          23/48   voff=126
BA   12   CR   2+49/96   TR 10   CH 10   NT  E--         23/48   voff=126
BA   12   CR   2+49/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   12   CR   2+49/96   TR 10   CH 10   NT  D--         23/48   voff=126
BA   12   CR     2+3/4   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   12   CR     2+3/4   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   12   CR     2+3/4   TR  6   CH  6   NT  Bb----      11/48   voff=126
BA   12   CR     2+3/4   TR  7   CH  7   NT  F#          11/48   voff=126
BA   12   CR     2+3/4   TR  9   CH  9   NT  F#          11/48   voff=126
BA   12   CR   2+73/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   12   CR         3   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   12   CR         3   TR  2   CH  2   NT  D'          23/48   voff=126
BA   12   CR         3   TR  3   CH  3   NT  C#-         23/48   voff=126
BA   12   CR         3   TR  4   CH  4   NT  C#--        23/48   voff=126
BA   12   CR         3   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   12   CR         3   TR  6   CH  6   NT  F---        11/48   voff=126
BA   12   CR         3   TR  7   CH  7   NT  Eb          11/48   voff=126
BA   12   CR         3   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   12   CR    3+1/96   TR  8   CH  8   NT  D'          23/48   voff=126
BA   12   CR    3+1/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   12   CR    3+1/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   12   CR     3+1/4   TR  1   CH  1   NT  F'          11/48   voff=126
BA   12   CR     3+1/4   TR  5   CH  5   NT  F'          11/48   voff=126
BA   12   CR     3+1/4   TR  6   CH  6   NT  Bb---       11/48   voff=126
BA   12   CR     3+1/4   TR  7   CH  7   NT  F           11/48   voff=126
BA   12   CR     3+1/4   TR  9   CH  9   NT  F           11/48   voff=126
BA   12   CR   3+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   12   CR   3+25/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   12   CR     3+1/2   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   12   CR     3+1/2   TR  2   CH  2   NT  Eb'         23/48   voff=126
BA   12   CR     3+1/2   TR  3   CH  3   NT  Bb-         23/48   voff=126
BA   12   CR     3+1/2   TR  4   CH  4   NT  Bb--        23/48   voff=126
BA   12   CR     3+1/2   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   12   CR     3+1/2   TR  6   CH  6   NT  Bb----      11/48   voff=126
BA   12   CR     3+1/2   TR  7   CH  7   NT  F#          11/48   voff=126
BA   12   CR     3+1/2   TR  9   CH  9   NT  F#          11/48   voff=126
BA   12   CR   3+49/96   TR  8   CH  8   NT  Eb'         23/48   voff=126
BA   12   CR   3+49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   12   CR   3+49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   12   CR   3+49/96   TR 10   CH 10   NT  E-          35/48   voff=126
BA   12   CR     3+3/4   TR  1   CH  1   NT  G#'         11/48   voff=126
BA   12   CR     3+3/4   TR  5   CH  5   NT  G#'         11/48   voff=126
BA   12   CR     3+3/4   TR  6   CH  6   NT  F---        11/48   voff=126
BA   12   CR     3+3/4   TR  7   CH  7   NT  G#          11/48   voff=126
BA   12   CR     3+3/4   TR  9   CH  9   NT  G#          11/48   voff=126
BA   12   CR   3+73/96   TR 10   CH 10   NT  Bb--        11/48   voff=126

BA   13   CR         0   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   13   CR         0   TR  2   CH  2   NT  F'          11/48   voff=126
BA   13   CR         0   TR  3   CH  3   NT  Eb-       3+47/48   voff=126
BA   13   CR         0   TR  4   CH  4   NT  Eb--      3+47/48   voff=126
BA   13   CR         0   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   13   CR         0   TR  6   CH  6   NT  Eb---       11/48   voff=126
BA   13   CR         0   TR  7   CH  7   NT  Eb          11/48   voff=126
BA   13   CR         0   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   13   CR      1/96   TR  8   CH  8   NT  F'          11/48   voff=126
BA   13   CR      1/96   TR 10   CH 10   NT  B---        35/48   voff=126
BA   13   CR       1/4   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   13   CR       1/4   TR  2   CH  2   NT  Eb'         23/48   voff=126
BA   13   CR       1/4   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   13   CR       1/4   TR  6   CH  6   NT  F#---       11/48   voff=126
BA   13   CR       1/4   TR  7   CH  7   NT  F#          11/48   voff=126
BA   13   CR       1/4   TR  9   CH  9   NT  F#          11/48   voff=126
BA   13   CR     25/96   TR  8   CH  8   NT  Eb'         23/48   voff=126
BA   13   CR     25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   13   CR       1/2   TR  1   CH  1   NT  Bb'         11/48   voff=126
BA   13   CR       1/2   TR  5   CH  5   NT  Bb'         11/48   voff=126
BA   13   CR       1/2   TR  6   CH  6   NT  Eb--        11/48   voff=126
BA   13   CR       1/2   TR  7   CH  7   NT  Eb'         11/48   voff=126
BA   13   CR       1/2   TR  9   CH  9   NT  Bb          11/48   voff=126
BA   13   CR     49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   13   CR     49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   13   CR       3/4   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   13   CR       3/4   TR  2   CH  2   NT  F'          23/48   voff=126
BA   13   CR       3/4   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   13   CR       3/4   TR  6   CH  6   NT  Eb---       11/48   voff=126
BA   13   CR       3/4   TR  7   CH  7   NT  Eb          11/48   voff=126
BA   13   CR       3/4   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   13   CR     73/96   TR  8   CH  8   NT  F'          23/48   voff=126
BA   13   CR     73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   13   CR     73/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   13   CR         1   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   13   CR         1   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   13   CR         1   TR  6   CH  6   NT  F#---       11/48   voff=126
BA   13   CR         1   TR  7   CH  7   NT  F#          11/48   voff=126
BA   13   CR         1   TR  9   CH  9   NT  F#          11/48   voff=126
BA   13   CR     1+1/4   TR  1   CH  1   NT  Bb'         11/48   voff=126
BA   13   CR     1+1/4   TR  2   CH  2   NT  F#'         23/48   voff=126
BA   13   CR     1+1/4   TR  5   CH  5   NT  Bb'         11/48   voff=126
BA   13   CR     1+1/4   TR  6   CH  6   NT  Eb--        11/48   voff=126
BA   13   CR     1+1/4   TR  7   CH  7   NT  Eb'         11/48   voff=126
BA   13   CR     1+1/4   TR  9   CH  9   NT  Bb          11/48   voff=126
BA   13   CR   1+25/96   TR  8   CH  8   NT  F#'         23/48   voff=126
BA   13   CR   1+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   13   CR   1+25/96   TR 10   CH 10   NT  B---        23/48   voff=126
BA   13   CR     1+1/2   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   13   CR     1+1/2   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   13   CR     1+1/2   TR  6   CH  6   NT  Eb---       11/48   voff=126
BA   13   CR     1+1/2   TR  7   CH  7   NT  Eb          11/48   voff=126
BA   13   CR     1+1/2   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   13   CR   1+49/96   TR 10   CH 10   NT  E--         11/48   voff=126
BA   13   CR   1+49/96   TR 10   CH 10   NT  D--         11/48   voff=126
BA   13   CR     1+3/4   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   13   CR     1+3/4   TR  2   CH  2   NT  Eb'         11/48   voff=126
BA   13   CR     1+3/4   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   13   CR     1+3/4   TR  6   CH  6   NT  F#---       11/48   voff=126
BA   13   CR     1+3/4   TR  7   CH  7   NT  F#          11/48   voff=126
BA   13   CR     1+3/4   TR  9   CH  9   NT  F#          11/48   voff=126
BA   13   CR   1+73/96   TR  8   CH  8   NT  Eb'         11/48   voff=126
BA   13   CR   1+73/96   TR 10   CH 10   NT  F#-         23/48   voff=126
BA   13   CR   1+73/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   13   CR         2   TR  1   CH  1   NT  Eb'         11/48   voff=126
BA   13   CR         2   TR  2   CH  2   NT  F'          23/48   voff=126
BA   13   CR         2   TR  5   CH  5   NT  Eb'         11/48   voff=126
BA   13   CR         2   TR  6   CH  6   NT  Eb---       11/48   voff=126
BA   13   CR         2   TR  7   CH  7   NT  Eb          11/48   voff=126
BA   13   CR         2   TR  9   CH  9   NT  Eb          11/48   voff=126
BA   13   CR    2+1/96   TR  8   CH  8   NT  F'          23/48   voff=126
BA   13   CR    2+1/96   TR 10   CH 10   NT  B---        11/48   voff=126
BA   13   CR     2+1/4   TR  1   CH  1   NT  F#'         11/48   voff=126
BA   13   CR     2+1/4   TR  5   CH  5   NT  F#'         11/48   voff=126
BA   13   CR     2+1/4   TR  6   CH  6   NT  F#---       11/48   voff=126
BA   13   CR     2+1/4   TR  7   CH  7   NT  F#          11/48   voff=126
BA   13   CR     2+1/4   TR  9   CH  9   NT  F#          11/48   voff=126
BA   13   CR   2+25/96   TR 10   CH 10   NT  F#-         11/48   voff=126
BA   13   CR   2+25/96   TR 10   CH 10   NT  B---        23/48   voff=126
