format=1 tracks=5 division=480

BA    5   CR       3/4   TR  2   CH  3   NT  Bb            3/4   voff=80
BA    5   CR       3/4   TR  4   CH 10   NT  E--           1/4   voff=80
BA    5   CR         1   TR  1   CH  1   NT  F-            1/2   voff=80
BA    5   CR         1   TR  3   CH  5   NT  G#--        1+1/2   voff=80
BA    5   CR         1   TR  4   CH 10   NT  E--           1/2   von=95   voff=80
BA    5   CR     1+1/2   TR  1   CH  1   NT  G-            1/4   voff=80
BA    5   CR     1+1/2   TR  2   CH  3   NT  F             1/2   voff=80
BA    5   CR     1+1/2   TR  4   CH 10   NT  E--           1/4   von=79   voff=80
BA    5   CR     1+3/4   TR  1   CH  1   NT  E-            1/4   voff=80
BA    5   CR     1+3/4   TR  4   CH 10   NT  E--           1/4   voff=80
BA    5   CR         2   TR  1   CH  1   NT  Bb-           1/2   voff=80
BA    5   CR         2   TR  2   CH  3   NT  E             1/2   voff=80
BA    5   CR         2   TR  4   CH 10   NT  E--           1/2   von=95   voff=80
BA    5   CR     2+1/2   TR  1   CH  1   NT  C             1/4   voff=80
BA    5   CR     2+1/2   TR  2   CH  3   NT  G             1/2   voff=80
BA    5   CR     2+1/2   TR  4   CH 10   NT  E--           1/4   von=79   voff=80
BA    5   CR     2+3/4   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    5   CR     2+3/4   TR  4   CH 10   NT  E--           1/4   voff=80
BA    5   CR         3   TR  1   CH  1   NT  G-            1/2   voff=80
BA    5   CR         3   TR  2   CH  3   NT  C#'           1/2   voff=80
BA    5   CR         3   TR  3   CH  5   NT  C--             1   voff=80
BA    5   CR         3   TR  4   CH 10   NT  E--           1/8   von=63   voff=80
BA    5   CR     3+1/8   TR  4   CH 10   NT  E--           1/8   voff=80
BA    5   CR     3+1/4   TR  4   CH 10   NT  E--           1/8   voff=80
BA    5   CR     3+3/8   TR  4   CH 10   NT  E--           1/8   voff=80
BA    5   CR     3+1/2   TR  1   CH  1   NT  G-            1/4   voff=80
BA    5   CR     3+1/2   TR  2   CH  3   NT  Bb            1/2   voff=80
BA    5   CR     3+1/2   TR  4   CH 10   NT  E--           1/8   voff=80
BA    5   CR     3+5/8   TR  4   CH 10   NT  E--           1/8   voff=80
BA    5   CR     3+3/4   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    5   CR     3+3/4   TR  4   CH 10   NT  E--           1/8   voff=80
BA    5   CR     3+7/8   TR  4   CH 10   NT  E--           1/8   voff=80

BA    6   CR         0   TR  1   CH  1   NT  G#-           1/2   voff=80
BA    6   CR         0   TR  2   CH  3   NT  C'          1+1/2   voff=80
BA    6   CR         0   TR  3   CH  5   NT  F--           1/2   voff=80
BA    6   CR         0   TR  4   CH 10   NT  E--           1/2   von=95   voff=80
BA    6   CR       1/2   TR  1   CH  1   NT  C             1/4   voff=80
BA    6   CR       1/2   TR  4   CH 10   NT  E--           1/4   von=79   voff=80
