format=1 tracks=6 division=384

BA    2   CR     3+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    2   CR     3+1/2   TR  1   CH  1   NT  F'            1/3   voff=100
BA    2   CR     3+1/2   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    2   CR     3+1/2   TR  3   CH  3   NT  G--           1/6   voff=100
BA    2   CR     3+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    2   CR     3+3/4   TR  3   CH  3   NT  G-            1/6   voff=100
BA    2   CR     3+3/4   TR  4   CH 10   NT  D--           1/6   voff=100

BA    3   CR         0   TR  1   CH  1   NT  F'            1/3   voff=100
BA    3   CR         0   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    3   CR         0   TR  3   CH  3   NT  F-            1/6   voff=100
BA    3   CR         0   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR       1/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR       1/2   TR  1   CH  1   NT  F'            1/3   voff=100
BA    3   CR       1/2   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    3   CR       1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR       1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR       3/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR         1   TR  1   CH  1   NT  G'            1/3   voff=100
BA    3   CR         1   TR  2   CH  2   NT  C''           1/3   voff=100
BA    3   CR         1   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR         1   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR     1+1/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    3   CR     1+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    3   CR     1+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR     1+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR     1+3/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR     1+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR         2   TR  1   CH  1   NT  C             1/3   voff=100
BA    3   CR         2   TR  3   CH  3   NT  F-            1/6   voff=100
BA    3   CR         2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR     2+1/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR     2+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR     2+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    3   CR     2+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR     2+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR     2+3/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    3   CR         3   TR  1   CH  1   NT  F'            1/3   voff=100
BA    3   CR         3   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    3   CR         3   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR     3+1/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    3   CR     3+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    3   CR     3+1/2   TR  2   CH  2   NT  C''           1/3   voff=100
BA    3   CR     3+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR     3+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    3   CR     3+3/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    3   CR     3+3/4   TR  4   CH 10   NT  D--           1/6   voff=100

BA    4   CR         0   TR  1   CH  1   NT  G'            1/3   voff=100
BA    4   CR         0   TR  2   CH  2   NT  C''           1/3   voff=100
BA    4   CR         0   TR  3   CH  3   NT  F-            1/6   voff=100
BA    4   CR         0   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR       1/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    4   CR       1/2   TR  1   CH  1   NT  G'            1/3   voff=100
BA    4   CR       1/2   TR  2   CH  2   NT  C''           1/3   voff=100
BA    4   CR       1/2   TR  3   CH  3   NT  F-            1/6   voff=100
BA    4   CR       1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR       3/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    4   CR         1   TR  1   CH  1   NT  C             1/3   voff=100
BA    4   CR         1   TR  3   CH  3   NT  F--           1/6   voff=100
BA    4   CR         1   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR     1+1/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    4   CR     1+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    4   CR     1+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    4   CR     1+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR     1+3/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    4   CR     1+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR         2   TR  1   CH  1   NT  C             1/3   voff=100
BA    4   CR         2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    4   CR         2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR     2+1/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    4   CR     2+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR     2+1/2   TR  1   CH  1   NT  F'            1/3   voff=100
BA    4   CR     2+1/2   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    4   CR     2+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    4   CR     2+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR     2+3/4   TR  3   CH  3   NT  G--           1/6   voff=100
BA    4   CR     2+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR         3   TR  1   CH  1   NT  G'            1/3   voff=100
BA    4   CR         3   TR  2   CH  2   NT  C''           1/3   voff=100
BA    4   CR         3   TR  3   CH  3   NT  G-            1/6   voff=100
BA    4   CR         3   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR     3+1/4   TR  3   CH  3   NT  G--           1/6   voff=100
BA    4   CR     3+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR     3+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    4   CR     3+1/2   TR  3   CH  3   NT  Bb--          1/6   voff=100
BA    4   CR     3+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    4   CR     3+3/4   TR  3   CH  3   NT  Bb-           1/6   voff=100
BA    4   CR     3+3/4   TR  4   CH 10   NT  D--           1/6   voff=100

BA    5   CR         0   TR  1   CH  1   NT  C             1/3   voff=100
BA    5   CR         0   TR  3   CH  3   NT  C             1/6   voff=100
BA    5   CR         0   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR       1/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR       1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    5   CR       1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR       1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR       3/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR         1   TR  1   CH  1   NT  F'            1/3   voff=100
BA    5   CR         1   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    5   CR         1   TR  3   CH  3   NT  C             1/6   voff=100
BA    5   CR         1   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR     1+1/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR     1+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    5   CR     1+1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR     1+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR     1+3/4   TR  3   CH  3   NT  C             1/6   voff=100
BA    5   CR     1+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR         2   TR  1   CH  1   NT  G'            1/3   voff=100
BA    5   CR         2   TR  2   CH  2   NT  C''           1/3   voff=100
BA    5   CR         2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR         2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR     2+1/4   TR  3   CH  3   NT  C             1/6   voff=100
BA    5   CR     2+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR     2+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    5   CR     2+1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR     2+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR     2+3/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR         3   TR  1   CH  1   NT  C             1/3   voff=100
BA    5   CR         3   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR     3+1/4   TR  3   CH  3   NT  C             1/6   voff=100
BA    5   CR     3+1/2   TR  1   CH  1   NT  F'            1/3   voff=100
BA    5   CR     3+1/2   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    5   CR     3+1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR     3+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    5   CR     3+3/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    5   CR     3+3/4   TR  4   CH 10   NT  D--           1/6   voff=100

BA    6   CR         0   TR  1   CH  1   NT  G'            1/3   voff=100
BA    6   CR         0   TR  2   CH  2   NT  C''           1/3   voff=100
BA    6   CR         0   TR  3   CH  3   NT  C             1/6   voff=100
BA    6   CR         0   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR       1/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR       1/2   TR  1   CH  1   NT  G'            1/3   voff=100
BA    6   CR       1/2   TR  2   CH  2   NT  C''           1/3   voff=100
BA    6   CR       1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR       1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR       3/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR         1   TR  1   CH  1   NT  C             1/3   voff=100
BA    6   CR         1   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR         1   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR     1+1/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR     1+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    6   CR     1+1/2   TR  3   CH  3   NT  C             1/6   voff=100
BA    6   CR     1+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR     1+3/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR     1+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR         2   TR  1   CH  1   NT  C             1/3   voff=100
BA    6   CR         2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR         2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR     2+1/4   TR  3   CH  3   NT  C             1/6   voff=100
BA    6   CR     2+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR     2+1/2   TR  1   CH  1   NT  Bb'           1/3   voff=100
BA    6   CR     2+1/2   TR  2   CH  2   NT  Eb''          1/3   voff=100
BA    6   CR     2+1/2   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR     2+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR     2+3/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    6   CR     2+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR         3   TR  1   CH  1   NT  C             1/3   voff=100
BA    6   CR         3   TR  3   CH  3   NT  Bb--          1/6   voff=100
BA    6   CR         3   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR     3+1/4   TR  3   CH  3   NT  Bb-           1/6   voff=100
BA    6   CR     3+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR     3+1/2   TR  1   CH  1   NT  F'            1/3   voff=100
BA    6   CR     3+1/2   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    6   CR     3+1/2   TR  3   CH  3   NT  G--           1/6   voff=100
BA    6   CR     3+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    6   CR     3+3/4   TR  3   CH  3   NT  G-            1/6   voff=100
BA    6   CR     3+3/4   TR  4   CH 10   NT  D--           1/6   voff=100

BA    7   CR         0   TR  1   CH  1   NT  F'            1/3   voff=100
BA    7   CR         0   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    7   CR         0   TR  3   CH  3   NT  F-            1/6   voff=100
BA    7   CR         0   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR       1/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR       1/2   TR  1   CH  1   NT  F'            1/3   voff=100
BA    7   CR       1/2   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    7   CR       1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR       1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR       3/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR         1   TR  1   CH  1   NT  G'            1/3   voff=100
BA    7   CR         1   TR  2   CH  2   NT  C''           1/3   voff=100
BA    7   CR         1   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR         1   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR     1+1/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    7   CR     1+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    7   CR     1+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR     1+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR     1+3/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR     1+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR         2   TR  1   CH  1   NT  C             1/3   voff=100
BA    7   CR         2   TR  3   CH  3   NT  F-            1/6   voff=100
BA    7   CR         2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR     2+1/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR     2+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR     2+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    7   CR     2+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR     2+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR     2+3/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    7   CR         3   TR  1   CH  1   NT  F'            1/3   voff=100
BA    7   CR         3   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    7   CR         3   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR     3+1/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    7   CR     3+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    7   CR     3+1/2   TR  2   CH  2   NT  C''           1/3   voff=100
BA    7   CR     3+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR     3+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    7   CR     3+3/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    7   CR     3+3/4   TR  4   CH 10   NT  D--           1/6   voff=100

BA    8   CR         0   TR  1   CH  1   NT  G'            1/3   voff=100
BA    8   CR         0   TR  2   CH  2   NT  C''           1/3   voff=100
BA    8   CR         0   TR  3   CH  3   NT  F-            1/6   voff=100
BA    8   CR         0   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR       1/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    8   CR       1/2   TR  1   CH  1   NT  G'            1/3   voff=100
BA    8   CR       1/2   TR  2   CH  2   NT  C''           1/3   voff=100
BA    8   CR       1/2   TR  3   CH  3   NT  F-            1/6   voff=100
BA    8   CR       1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR       3/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    8   CR         1   TR  1   CH  1   NT  C             1/3   voff=100
BA    8   CR         1   TR  3   CH  3   NT  F--           1/6   voff=100
BA    8   CR         1   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR     1+1/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    8   CR     1+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    8   CR     1+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    8   CR     1+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR     1+3/4   TR  3   CH  3   NT  F-            1/6   voff=100
BA    8   CR     1+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR         2   TR  1   CH  1   NT  C             1/3   voff=100
BA    8   CR         2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    8   CR         2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR     2+1/4   TR  3   CH  3   NT  F--           1/6   voff=100
BA    8   CR     2+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR     2+1/2   TR  1   CH  1   NT  F'            1/3   voff=100
BA    8   CR     2+1/2   TR  2   CH  2   NT  Bb'           1/3   voff=100
BA    8   CR     2+1/2   TR  3   CH  3   NT  F--           1/6   voff=100
BA    8   CR     2+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR     2+3/4   TR  3   CH  3   NT  G--           1/6   voff=100
BA    8   CR     2+3/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR         3   TR  1   CH  1   NT  G'            1/3   voff=100
BA    8   CR         3   TR  2   CH  2   NT  C''           1/3   voff=100
BA    8   CR         3   TR  3   CH  3   NT  G-            1/6   voff=100
BA    8   CR         3   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR     3+1/4   TR  3   CH  3   NT  G--           1/6   voff=100
BA    8   CR     3+1/4   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR     3+1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    8   CR     3+1/2   TR  3   CH  3   NT  Bb--          1/6   voff=100
BA    8   CR     3+1/2   TR  4   CH 10   NT  D--           1/6   voff=100
BA    8   CR     3+3/4   TR  3   CH  3   NT  Bb-           1/6   voff=100
BA    8   CR     3+3/4   TR  4   CH 10   NT  D--           1/6   voff=100

BA    9   CR         0   TR  1   CH  1   NT  C             1/3   voff=100
BA    9   CR         0   TR  3   CH  3   NT  C             1/6   voff=100
BA    9   CR         0   TR  4   CH 10   NT  D--           1/6   voff=100
BA    9   CR       1/4   TR  3   CH  3   NT  C-            1/6   voff=100
BA    9   CR       1/2   TR  1   CH  1   NT  C             1/3   voff=100
BA    9   CR       1/2   TR  3   CH  3   NT  C-            1/6   voff=100
