format=0 tracks=1 division=480

BA    2   CR      5/16   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR      5/16   TR  0   CH  2   ST &B1 &0B &55
BA    2   CR      5/16   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR      5/16   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR      5/16   TR  0   CH  4   Channel volume 85
BA    2   CR      5/16   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR      5/16   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR      5/16   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR      5/16   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR      5/16   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR      5/16   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR      5/16   TR  0   CH 12   ST &BB &0A &50
BA    2   CR      5/16   TR  0   CH 14   ST &BD &0A &46
BA    2   CR   161/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR   161/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR   161/480   TR  0   CH  3   Channel volume 85
BA    2   CR   161/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR     11/32   TR  0   CH 13   ST &BC &0A &28
BA    2   CR       3/8   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR       3/8   TR  0   CH  1   ST &B0 &0B &56
BA    2   CR       3/8   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR       3/8   TR  0   CH  2   ST &B1 &0B &56
BA    2   CR       3/8   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR       3/8   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR       3/8   TR  0   CH  4   Channel volume 85
BA    2   CR       3/8   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR       3/8   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR       3/8   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR       3/8   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR       3/8   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR       3/8   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR       3/8   TR  0   CH 12   ST &BB &0A &50
BA    2   CR       3/8   TR  0   CH 14   ST &BD &0A &46
BA    2   CR   191/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR   191/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR   191/480   TR  0   CH  3   Channel volume 85
BA    2   CR   191/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR     13/32   TR  0   CH 13   ST &BC &0A &28
BA    2   CR      7/16   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR      7/16   TR  0   CH  1   ST &B0 &0B &57
BA    2   CR      7/16   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR      7/16   TR  0   CH  2   ST &B1 &0B &57
BA    2   CR      7/16   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR      7/16   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR      7/16   TR  0   CH  4   Channel volume 85
BA    2   CR      7/16   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR      7/16   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR      7/16   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR      7/16   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR      7/16   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR      7/16   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR      7/16   TR  0   CH 12   ST &BB &0A &50
BA    2   CR      7/16   TR  0   CH 14   ST &BD &0A &46
BA    2   CR   221/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR   221/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR   221/480   TR  0   CH  3   Channel volume 85
BA    2   CR   221/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR     15/32   TR  0   CH 13   ST &BC &0A &28
BA    2   CR       1/2   TR  0   CH  1   NT  D            9/40   von=91
BA    2   CR       1/2   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR       1/2   TR  0   CH  1   ST &B0 &0B &58
BA    2   CR       1/2   TR  0   CH  2   NT  A-           9/40   von=93
BA    2   CR       1/2   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR       1/2   TR  0   CH  2   ST &B1 &0B &58
BA    2   CR       1/2   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR       1/2   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR       1/2   TR  0   CH  4   Channel volume 85
BA    2   CR       1/2   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR       1/2   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR       1/2   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR       1/2   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR       1/2   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR       1/2   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR       1/2   TR  0   CH 12   ST &BB &0A &50
BA    2   CR       1/2   TR  0   CH 14   ST &BD &0A &46
BA    2   CR   251/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR   251/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR   251/480   TR  0   CH  3   Channel volume 85
BA    2   CR   251/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR     17/32   TR  0   CH 13   ST &BC &0A &28
BA    2   CR      9/16   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR      9/16   TR  0   CH  1   ST &B0 &0B &59
BA    2   CR      9/16   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR      9/16   TR  0   CH  2   ST &B1 &0B &59
BA    2   CR      9/16   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR      9/16   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR      9/16   TR  0   CH  4   Channel volume 85
BA    2   CR      9/16   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR      9/16   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR      9/16   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR      9/16   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR      9/16   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR      9/16   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR      9/16   TR  0   CH 12   ST &BB &0A &50
BA    2   CR      9/16   TR  0   CH 14   ST &BD &0A &46
BA    2   CR   281/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR   281/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR   281/480   TR  0   CH  3   Channel volume 85
BA    2   CR   281/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR     19/32   TR  0   CH 13   ST &BC &0A &28
BA    2   CR       5/8   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR       5/8   TR  0   CH  1   ST &B0 &0B &5A
BA    2   CR       5/8   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR       5/8   TR  0   CH  2   ST &B1 &0B &5A
BA    2   CR       5/8   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR       5/8   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR       5/8   TR  0   CH  4   Channel volume 85
BA    2   CR       5/8   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR       5/8   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR       5/8   TR  0   CH  7   ST &B6 &0A &32
